City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
117,barreirinhas,-2.7469,-42.8264,30.64,53,10,7.02,BR,2023-11-07 19:03:35
118,atafu village,-8.5421,-172.5159,28.67,78,100,6.69,TK,2023-11-07 19:03:37
119,fayroz koh,34.5195,65.2509,7.05,74,100,1.47,AF,2023-11-07 19:03:38
120,harper,4.375,-7.7169,26.26,86,23,3.67,LR,2023-11-07 19:03:39
121,amalapuram,16.5833,82.0167,24.95,90,80,1.78,IN,2023-11-07 19:03:41
122,tolanaro,-25.0319,46.9987,24.04,73,20,10.8,MG,2023-11-07 19:03:43
123,kiama,-34.6833,150.8667,17.36,87,71,3.59,AU,2023-11-07 19:03:45
124,lebu,-37.6167,-73.65,13.21,74,30,3.8,CL,2023-11-07 19:02:56
125,georgievka,49.3314,81.5761,-1.73,56,94,1.86,KZ,2023-11-07 19:03:47
126,bayramaly,37.6185,62.1671,17.86,48,97,3.04,TM,2023-11-07 19:03:49
127,mount pearl,47.5166,-52.7813,4.52,63,100,1.34,CA,2023-11-07 19:03:50
128,poronaysk,49.2167,143.1167,-0.16,84,100,7.48,RU,2023-11-07 19:03:51
129,merizo village,13.2658,144.6691,26.99,93,29,5.33,GU,2023-11-07 19:03:52
130,invercargill,-46.4,168.35,8.9,91,100,0.89,NZ,2023-11-07 19:03:54
131,port hedland,-20.3167,118.5667,25.03,53,4,3.09,AU,2023-11-07 19:03:55
132,launceston,-41.45,147.1667,13.78,100,95,3.6,AU,2023-11-07 19:03:57
133,pickering,43.9001,-79.1329,8.15,73,100,8.23,CA,2023-11-07 19:03:59
134,kattivakkam,13.2167,80.3167,26.71,88,95,1.9,IN,2023-11-07 19:04:01
135,itoman,26.1247,127.6694,21.01,73,20,3.09,JP,2023-11-07 19:04:02
136,luebo,-5.35,21.4167,25.64,72,80,0.1,CD,2023-11-07 19:04:03
137,morehead city,34.7229,-76.726,24.44,65,0,4.63,US,2023-11-07 19:00:03
138,machali,-34.1833,-70.6667,20.6,49,20,4.12,CL,2023-11-07 19:01:21
139,wynyard,-41.0,145.7167,15.28,88,100,5.49,AU,2023-11-07 19:04:09
140,tralee,52.2704,-9.7026,7.97,89,100,3.5,IE,2023-11-07 19:04:10
141,ust-nera,64.5667,143.2,-27.26,99,99,0.13,RU,2023-11-07 19:04:12
142,nalgonda,17.05,79.2667,23.49,89,29,2.18,IN,2023-11-07 19:04:13
143,olinda,-8.0089,-34.8553,27.85,69,75,4.12,BR,2023-11-07 19:03:48
144,kupang,-10.1667,123.5833,26.32,89,100,2.57,ID,2023-11-07 19:04:16
145,rongelap,11.1635,166.8941,28.09,79,76,9.34,MH,2023-11-07 19:04:17
146,papatowai,-46.5619,169.4708,8.52,87,100,2.24,NZ,2023-11-07 19:04:18
147,colonia,50.9333,6.95,9.9,79,100,3.6,DE,2023-11-07 19:02:22
148,hadibu,12.65,54.0333,26.44,73,25,3.57,YE,2023-11-07 19:04:21
149,yigou,35.8114,114.3167,11.3,73,0,1.28,CN,2023-11-07 19:04:22
150,ribeira grande,38.5167,-28.7,20.43,94,75,8.05,PT,2023-11-07 19:04:24
151,conceicao do araguaia,-8.2578,-49.2647,33.93,44,87,2.85,BR,2023-11-07 19:02:20
152,brokopondo,4.75,-55.1667,34.61,46,10,1.44,SR,2023-11-07 19:04:26
153,mankono,8.0586,-6.1897,26.0,73,14,2.9,CI,2023-11-07 19:04:27
154,torbat-e heydariyeh,35.274,59.2195,12.97,57,90,1.42,IR,2023-11-07 19:04:29
155,mulayjah,27.271,48.4242,24.56,52,0,1.4,SA,2023-11-07 19:04:31
156,mukalla,14.5425,49.1242,26.51,69,99,0.38,YE,2023-11-07 19:04:32
157,idri,27.5,13.2667,24.9,18,0,3.41,LY,2023-11-07 19:04:34
158,svendborg,55.0598,10.6068,9.36,88,99,9.24,DK,2023-11-07 19:04:35
159,enewetak,11.3474,162.3373,28.34,71,99,10.04,MH,2023-11-07 19:04:37
160,ust'-uda,54.1742,103.0304,-12.92,95,29,1.46,RU,2023-11-07 19:04:38
161,pachperwa,27.5167,82.65,18.59,55,0,1.86,IN,2023-11-07 19:04:39
162,puerto san jose,13.9256,-90.8244,29.49,75,27,2.06,GT,2023-11-07 19:04:41
163,utrik,11.2278,169.8474,27.86,78,100,10.38,MH,2023-11-07 19:04:42
164,cururupu,-1.8283,-44.8683,29.96,60,97,3.46,BR,2023-11-07 19:04:43
165,uzgen,40.7699,73.3007,7.16,23,99,1.71,KG,2023-11-07 19:04:44
166,tottori,35.5,134.2333,12.89,72,14,1.2,JP,2023-11-07 19:04:46
167,saint-pierre,-21.3393,55.4781,22.82,94,75,6.69,RE,2023-11-07 19:04:48
168,ndele,8.4109,20.6473,25.55,64,31,1.18,CF,2023-11-07 19:04:49
169,okondja,-0.6549,13.6753,23.11,96,100,0.71,GA,2023-11-07 19:04:51
170,kapa'a,22.0752,-159.319,26.18,80,75,8.23,US,2023-11-07 19:04:52
171,campbellton,48.0075,-66.6727,2.25,99,100,3.14,CA,2023-11-07 19:04:53
172,kutum,14.2,24.6667,25.33,21,27,6.72,SD,2023-11-07 19:04:54
173,howard springs,-12.497,131.047,26.95,88,17,2.57,AU,2023-11-07 19:04:55
174,candido mendes,-1.4467,-45.7167,29.89,62,67,3.95,BR,2023-11-07 19:04:33
175,crane,31.3974,-102.3501,29.22,19,0,3.35,US,2023-11-07 19:04:58
176,remire-montjoly,4.9167,-52.2667,32.02,66,20,4.63,GF,2023-11-07 19:04:59
177,monrovia,6.3005,-10.7969,24.87,85,6,3.58,LR,2023-11-07 19:05:00
178,masaya sur,16.497,121.7456,23.07,96,75,0.43,PH,2023-11-07 19:05:02
179,sola,-13.8833,167.55,25.37,94,100,4.12,VU,2023-11-07 19:05:05
180,pudozh,61.8099,36.5345,2.19,96,100,4.02,RU,2023-11-07 19:05:06
181,dombarovskiy,50.7587,59.5386,3.89,55,40,4.47,RU,2023-11-07 19:05:07
182,richards bay,-28.783,32.0377,19.0,91,100,7.33,ZA,2023-11-07 19:05:08
